,role,firm,location,jd,time_ago
2281,IT Assistant Manager (PECTH - BTS Poochao Samhingprai),"Panasonic Solutions (Thailand) Co., Ltd.",Samutprakarn > Muang,"Expertise in  SQL, HTML,Java, CSS, .Net10 years’ experience in Software DevelopmentWeb App and Movbile App",6d ago
2282,Client Care Manager,"MON Logistics Group Co., Ltd.",Bangplee,"Service Excellence in Logistics OperationsCustomer Centric and initiative approachWH, Transport, Cross border , Brokerage well-round",6d ago
2283,Process Engineer – process development,"Dockweiler Asia Co., Ltd.",Petchaburi,installation new machines & equipment in factory.metal process industry is preferred.ISO:9001 requirements for work instructions.,6d ago
2284,Sale Staff/เจ้าห้าที่ฝ่ายขาย,Usui International Corporation (Thailand) Ltd.,Chonburi,,6d ago
2285,Chief Financial Officer (CFO)/Chief Financial Officer (CFO),TURTLE 23 COMPANY LIMITED,Sathorn,,6d ago
2286,Senior Brand Manager,DSG International (Thailand) PLC.,Pathumwan,"Good planning and management skill.Good analytical, problem-solving skillsHave experience in NPD project is advantage",15h ago
2287,Mechanical Process Engineer - Plastic,"Supply Chain Resources Group (Thailand) Co., Ltd.",Chonburi,"Manufacturing job, Mechanical process engineerGood salary, benefit and compensationExpose to world class brand,frequent business trip",6d ago
2288,Commercial Specialist (Chinese Speaking) - AP Digital Power,"Huawei Technologies (Thailand) Co., Ltd.",Pathumwan,"At least 3-5 years working experienceUnderstand the details of the Contract/POGood command in English, Chinese is preferred",6d ago
2289,Business Operations Manager - Agoda Homes (Based in Bangkok),"Agoda Services Co., Ltd.",Bangkok,Operations excellenceInternational environmentGreat perks and career advancement,6d ago
2290,Quality Assurance Specialist (Work at Samut Sakhon),Akzo Nobel Paints (Thailand) Ltd.,Bangkok Area - Samutsakorn,"Verify the completeness of the work in QAIATF16949, ISO90013-5 years of exp. in QA/QC, Manufacturing",6d ago
2291,Manager / Senior Manager Business Development and Strategy/ผู้จัดการ / ผู้จัดการอาวุโส พัฒนาธุรกิจและกลยุทธ์,Power Solution Technologies Public Company Limited,Phayathai,,6d ago
2292,Digital Performance Marketing & Media Optimization,"Central JD Fintech Co., Ltd.",Pathumwan,Devise and manage end-to-end Media planBidding & Optimizing media campaignsMeasure & Report media performance against KPIs,6d ago
2293,Accounting Manager,Sonepar (Thailand) Limited,Prakanong,"Analytical skills, Problem solving, Team OrientedHighly adaptable and flexible to accept new ideasDynamic AX 2012",6d ago
2294,Investment Operations,"Citibank , N.A.",Wattana,Transaction ServiceInvestmenttrade capture,6d ago
2295,Performance Tester (Junior/ Senior/ Lead Level) - Max 150K!!,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Pathumwan,"Open for Junior/ Senior/ Lead levelMinimum 1 Year Experience in load testing toolsJmeter, LoadRunner, appium, Selenium",6d ago
2296,Senior Accountant  - GL (Huaykwang),Linfox M Logistics (Thailand) Ltd.,Huaykwang,,2d ago
2297,Test Engineer / Process Engineer,Benchmark Electronics (Thailand) Public Company Limited,Ayutthaya,Based in Ayutthaya / KoratFresh grads are welcomed!5 days working + incentive allowance,6d ago
2298,Trade Marketing Manager for Lifestyle product,"Siam Piwat Co., Ltd.",Pathumwan,Trade Marketing for Non-food/ Lifestyle productRetail BusinessPromotion and Campaign Management,6d ago
2299,Production Engineer/ Quality Engineer / Maintenance Engineer/วิศวกร จำนวน 10 อัตรา,"Thonburi Energy Storage Manufacturing Co., Ltd.",Samutprakarn > Muang,,6d ago
2300,Supplier Development Engineer,SMR Automotive System (Thailand) Limited,Rayong,"Understood with TS 16949 and PPAP, APQP , TPMWork in RayongAt least 3-5 years in supplier development",6d ago
2301,Digital Marketing Manager,Sony Music Entertainment Asia Inc.,Bangkok,digital marketingmusicentertainment,7d ago
2302,HR Department Manager,JAC Recruitment Thailand,Chachoengsao,"Strong knowledge of (HRM&HRD)10 years with leadership skills 5 years in HR roleWork at Bangna-Trad KM42, Chachoengsao",6d ago
2303,Channel & Category Development / Trade Marketing - FMCG,"Kao Industrial ( Thailand ) Co., Ltd",Klongtoey,"5 yrs in Trade Marketing/ Channel DevelopmentExperiences in MT, CVS, TT ChannelJP Consumer product (Personal care, Household)",7d ago
2304,SALES AND MARKETING MANAGER,Asset World Corp Public Company Limited,Sathorn,Retail FurnitureHome & Décor BusinessGood in English Communication,6d ago
2305,Domestic Sales Department Manager/ผู้จัดการฝ่ายขายในประเทศ,"Bertram (1958) Co., Ltd.",Wangthonglang,"8 - 12 years sales experience from FMCG or relatedExcellence in selling and negotiation skillsDriven, Energetic, Analytical, Forward-Thinking",6d ago
2306,Risk Advisory: Consultant/ Senior Consultant ( Software Compliance Audit),"Deloitte Touche Tohmatsu Jaiyos Advisory Co., Ltd.",Sathorn,"Degree in Computer Engineering/ Computer Science.2-3 years experience in IT relatedGood communication, project management",6d ago
2307,Technical Service Manager / Asst. Product Control Manager,TPI Polene Public Company Limited (Rayong),Rayong,,6d ago
2308,Project Coordinator (Sustainable Agriculture),World Wide Fund for Nature International: WWF,Phayathai,"Conservation of Sustainable AgricultureSustainable consumption and production in ThailandNGO, INGO, Environmental Conservation",20h ago
2309,SENIOR SUSTAINABILITY ANALYST,Sri Trang Agro - Industry Public Company Limited,Klongtoey,"Bachelor’s or Master's degree in sustainabilityAt least 4-years work experience in sustainabilityStrong analytical, logic, problem-solving",7d ago
2310,"SVP, CPP Portfolio Management",United Overseas Bank (Thai) Public Company Limited (UOB),Wattana,Credit card portfolioIPPRoyalty program,7d ago
2311,[Urgent Position] Accounting Assistance Manager 40-50K MRT Queen Sirikit,"PASONA RECRUITMENT (THAILAND) CO., LTD.",Klongtoey,High Salary with Excellent BenefitsThe office is located in Klongteoy area5-day working per week,9h ago
2312,Provincial Operations Manager (POM) จังหวัดจันทบุรี,True Corporation Public Company Limited,ภาคตะวันออกจังหวัดอื่น,Operation ManagerNetwork EngineerData Analytics,6d ago
2313,R&D Engineer (Environment Standard Planning)/วิศวกรกลุ่มพัฒนาวางแผนมาตรฐานสิ่งแวดล้อม,Daikin Industries (Thailand) Ltd.,ชลบุรี,,7d ago
2314,Key Account Management (Jr./Sr.),"Intrepid Ecommerce Services (Thailand) Co., Ltd.",Bangkok,"University degree in any related field, Ecommerce2-5yrs Key Account Management,Lazada,Shopee,OnlineIncentive Bonus, WFH, Fun Working Environment",7d ago
2315,Data Center Facility Project Manager - (Carrier Business),"Huawei Technologies (Thailand) Co., Ltd.",Huaykwang,Construction project managementProject delivery experience of Data Center.Good command in English.,5d ago
2316,"Purchasing Specialist (VA/VE), Automotive, Rayong",Adecco Recruitment (Thailand) Limited,ระยอง,VA/VEPuchasing in Automotive industryGood command of English,15h ago
2317,Head Of Marketing,"Catike Global Co., Ltd.",Klongtoey,Marketing campaigns and strategyBuild marketing plans and budgetsSocial media performance,7d ago
2318,Assistant Wellness & Spa Manager,"Puri Co., Ltd.",Pathumwan,,15h ago
2319,HRBP Manager,"Thai Orix Leasing Co., Ltd.",Jatuchak,"HRBP, People mamagementRecruitment & Selection, Talent-Acquisition,HR Metrics, Manpower planning",8d ago
2320,Program Management Engineer (PM),"Hi-P (Thailand) Co., Ltd.",ระยอง,Communicate with Customers & cross functionalStrong management & at least 5 years experienceGood command in English communication,3d ago
2321,Chief Financial Officer/CFO,"Siam Wellness Group Public Co., Ltd.",ดินแดง,"10+ year experience in Financial, AccountingStrong leadership, trustworthy, responsibleFluent in English",12d ago
2322,Sales Engineer (General Industry),"KSB Pumps Co., Ltd.",หนองจอก,,4d ago
2323,O2O Campaign Manager,Central Retail Corporation Ltd. (Central Technology Office),Bangrak,Facebook adsGoogle adsGoogle Analytic,5d ago
2324,Senior Brand Manager – Foremost Mainstream Milk,FrieslandCampina (Thailand) PCL.,พญาไท,Senior Brand ManagerFMCGstrong mental & physical availability plans and ex,4d ago
2325,"Talent Acquisition Specialist (Bangkok, Saraburi, or Korat)",Cargill Group Thailand,Pathumwan,"Global/ large MNC standard in Recruitment workingProactive recruiter and strong sourcing experienceFluent in English, SAP Success Factor",3d ago
2326,Hospitality Valuer,"Knight Frank Chartered (Thailand) Co., Ltd.",Huaykwang,"Master degree in  Architecture, Real Estate2-3 years experiences in property analysisKnowledge in Property  valuation or Real Estate",20h ago
2327,Risk Management/บริหารความเสี่ยง,Samsung Life Insurance (Thailand) Public Company Limited,Huaykwang,,6d ago
2328,Brand Manager,Central Retail Corporation Public Company Limited,Klongtoey,"Good planning and management skill.Good analytical, problem-solving skillsGood team management skills",4d ago
2329,Team Assistant (Administrative Assistant) (Contract 1 year-renewable),"Skillpower Services (Thailand) Co., Ltd.",Pathumwan,Strong Administrative experienceGood Command of EnglishSolid knowledge of Window and Lotus Notes app,5d ago
2330,Quality Assurance on site BTS Chidlom,"Vanness Plus Consulting Co., Ltd.",Pathumwan,,9d ago
2331,Test Manager / Test Lead,K.Stone Corporation Ltd.,Jatuchak,Exp. in Automate Testing will be an advantageExp. in Software Testing at least 7 yearsExp. in Banking Business will be an advantage,5d ago
2332,Accounting Officer - Pathumthani,Fujikura Electronics (Thailand) Ltd.,คลองหลวง,"Bachelor degree in Accounting0-5 year experience in Accounting , AP and TAXCompetent knowledge of English & Computer",4d ago
2333,Finance Business Partner,Osotspa Public Company Limited,บางกะปิ,Experience in business financial analysis in FMCGGood English communication skillsPC literate + SAP,4d ago
2334,Partnership Manager,Central JD Commerce Limited.,Pathumwan,"5+ years exp. of BD, KAM, Partnership or relatedeCommerce knowledge and data-driven, tech savvyLead, plan, and execution partnership strategy",6d ago
2335,Strategic Performance Marketing Associate – 50K/BTS Asoke,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Wattana,"3 years in Digital media planning/Buying AdsStrong with Facebook Ads and Google Ads,AnalyticsKnowledge of key social media platforms and UTM",9d ago
2336,Data Engineer (Cloud Engineer),Krungsri Consumer,Pathumwan,"Cloud, Azure, AWS, GCP, CI/CDcloud-based solutionsWork Location: KSPT Building, BTS Ploenchit Exit 5",12h ago
2337,Purchasing Engineer - Indirect,"People Centric Recruitment Co., Ltd.",ภาคกลาง,Bachelor’s or master’s degree in EngineeringAt least 3 years in indirect purchasing.Good command of both written and spoken English.,1d ago
2338,BOM Engineer,"Asia Magnetic Winding Co., Ltd.",บางพลี,,5d ago
2339,Admin Executive - Wholesales (Non Food),Lotus's,บึงกุ่ม,"Buyer, MerchandiserAbility to analyze quantitative dataData Management and Filing Management",5d ago
2340,Subcontractor Management,"Shopee (Thailand) Co., Ltd.(Shopee Express)",Huaykwang,Experience in Workforce ManagementVery strong negotiation skillsStakeholders Management skills,12d ago
2341,Learning and Development Officer,ABeam Consulting (Thailand) Ltd.,Sathorn,HR DevelopmentTraining  ProgramTraining Activities,5d ago
2342,People Business Partner Associate,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,"Personal Accident Insurance and health benefitsPerformance bonus, Provident fundHave experiences in HR field",20h ago
2343,"Senior Supervisor, Sortation (PMO)","Lazada Express Co., Ltd (Thailand)",Bangplee,Ensure continuous improvement in the operationsOperarionsCompletes warehouse operational requirements,1h ago
2344,Internal Control & Compliance Assistant or Manager (47292),"PASONA RECRUITMENT (THAILAND) CO., LTD.",Sathorn,"Good Company, Big bonus, Career PathNice Welfare and Compensation, Good SalaryWorking location Good Team and Working Environment",4d ago
2345,Senior Database Administrator,"Super Energy Corporation (Public) Co., Ltd.",Bangna,,20h ago
2346,Digital Marketing Analytics (LINE BK)/Digital Marketing Analytics (LINE BK),Muang Thai Life Assurance Public Company Limited,Huaykwang,Digital Marketing & AnalyticsCustomer JourneyUX/UI Designer,5d ago
2347,URGENT!!!  Customer Service Team Lead //MRT Rama 9 // UP TO 55k,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,"Experienced in Insurance Company3 yrs+ , Good command in EnglishAble to work in shift",5d ago
2348,R&D Engineer/R&D Engineer,"Kruger Ventilation Industries Asia Co., Ltd.",Bangkok Area - Samutsakorn,,15h ago
2349,Urgent ! Junior Internal Control,"WhatsEGG (Thailand) Co., Ltd.",Wattana,"New Graduate with English SkillEnglish & Microsoft Excelimplement system, risk management, internal audit",6d ago
2350,"Digital Transformation Project Manager - THB 150K, IT Vendor",Argyll Scott Asia,Bangkok,Attractive Salary & Benefit PackageStable Company with Dynamic CultureFast Track Career Progression Opportunity,12d ago
2351,"Platform Experience Team Lead (Vietnamese, Hindi, Bengali Speakers)",Accenture Thailand,Bangkok,English + Vietnamese/Hindi/Bengali SpeakersCompetitive salary with language allowanceOpen to fresh grads to team lead level,6d ago
